Run,Starting value,Bounding phase result,Secant method result
1,-0.158718,"[-0.778718, -1.41872]",-0.960151
2,-1.16939,"[-1.02939, -0.869395]",-0.960149
3,-0.884252,"[-0.944252, -1.02425]",-0.960154
4,-1.48404,"[-0.864042, -1.50404]",-0.960146
5,-0.535937,"[-0.835937, -1.15594]",-0.960149
6,0.248293,"[-1.01171, 0.268293]",-0.960151
7,-1.88596,"[-1.26596, -0.625956]",-0.960145
8,0.670251,"[-0.589749, -1.86975]",-0.960144
9,-1.18009,"[-0.880089, -1.20009]",-0.96015
10,-0.318165,"[-0.938165, -1.57816]",-0.960151
